iter	Passed	Remaining
787	7419	1996
788	7427	1986
789	7436	1976
790	7444	1967
791	7452	1957
792	7464	1948
793	7471	1938
794	7482	1929
795	7493	1920
796	7502	1911
797	7510	1901
798	7519	1891
799	7527	1881
800	7536	1872
801	7543	1862
802	7549	1852
803	7559	1842
804	7569	1833
805	7581	1824
806	7587	1814
807	7593	1804
808	7603	1795
809	7612	1785
810	7620	1775
811	7632	1767
812	7640	1757
813	7651	1748
814	7657	1738
815	7669	1729
816	7679	1720
817	7686	1710
818	7698	1701
819	7711	1692
820	7719	1683
821	7728	1673
822	7734	1663
823	7747	1654
824	7755	1645
825	7763	1635
826	7774	1626
827	7780	1616
828	7790	1606
829	7801	1597
830	7813	1588
831	7818	1578
832	7831	1570
833	7839	1560
834	7847	1550
835	7853	1540
836	7863	1531
837	7871	1521
838	7882	1512
839	7889	1502
840	7896	1493
841	7906	1483
842	7917	1474
843	7924	1464
844	7933	1455
845	7942	1445
846	7951	1436
847	7959	1426
848	7966	1416
849	7978	1407
850	7984	1398
851	7994	1388
852	8005	1379
853	8017	1370
854	8026	1361
855	8034	1351
856	8044	1342
857	8057	1333
858	8068	1324
859	8077	1315
860	8087	1305
861	8097	1296
862	8105	1286
863	8109	1276
864	8117	1266
865	8125	1257
866	8133	1247
867	8141	1238
868	8148	1228
869	8160	1219
870	8170	1210
871	8179	1200
872	8191	1191
873	8202	1182
874	8212	1173
875	8218	1163
876	8227	1153
877	8233	1144
878	8244	1134
879	8253	1125
880	8263	1116
881	8275	1107
882	8283	1097
883	8294	1088
884	8306	1079
885	8318	1070
886	8326	1060
887	8336	1051
888	8346	1042
889	8354	1032
890	8360	1022
891	8369	1013
892	8380	1004
893	8390	994
894	8400	985
895	8409	976
896	8417	966
897	8426	957
898	8436	947
899	8444	938
900	8455	929
901	8462	919
902	8472	910
903	8482	900
904	8491	891
905	8501	882
906	8509	872
907	8521	863
908	8529	853
909	8539	844
910	8547	835
911	8556	825
912	8566	816
913	8572	806
914	8582	797
915	8591	787
916	8599	778
917	8607	768
918	8617	759
919	8626	750
920	8634	740
921	8638	730
922	8647	721
923	8656	711
924	8663	702
925	8672	693
926	8677	683
927	8689	674
928	8696	664
929	8702	655
930	8708	645
931	8715	635
932	8723	626
933	8733	617
934	8741	607
935	8751	598
936	8759	588
937	8764	579
938	8771	569
939	8780	560
940	8788	551
941	8793	541
942	8799	531
943	8806	522
944	8814	513
945	8822	503
946	8828	494
947	8835	484
948	8845	475
949	8853	465
950	8862	456
951	8869	447
952	8881	438
953	8892	428
954	8900	419
955	8905	409
956	8912	400
957	8919	391
958	8922	381
959	8927	371
960	8935	362
961	8953	353
962	8960	344
963	8967	334
964	8972	325
965	8977	315
966	8982	306
967	8986	297
968	8990	287
969	8994	278
970	8998	268
971	9003	259
972	9009	249
973	9014	240
974	9018	231
975	9022	221
976	9027	212
977	9032	203
978	9036	193
979	9040	184
980	9044	175
981	9048	165
982	9051	156
983	9055	147
984	9058	137
985	9060	128
986	9064	119
987	9066	110
988	9068	100
989	9070	91
990	9072	82
991	9073	73
992	9075	63
993	9077	54
994	9079	45
995	9080	36
996	9082	27
997	9084	18
998	9086	9
999	9087	0
