iter	Passed	Remaining
770	6294	1869
771	6304	1861
772	6313	1854
773	6320	1845
774	6328	1837
775	6337	1829
776	6348	1821
777	6355	1813
778	6366	1806
779	6371	1797
780	6377	1788
781	6387	1780
782	6394	1772
783	6401	1763
784	6405	1754
785	6413	1746
786	6420	1737
787	6427	1729
788	6437	1721
789	6446	1713
790	6451	1704
791	6455	1695
792	6463	1687
793	6469	1678
794	6477	1670
795	6488	1662
796	6496	1654
797	65798	6600798	65799	6605799	6516	1629
800	65801	6621801	65802	6629802	65803	6636803	65804	6641804	6571	1591
805	6579	1583
806	65807	6667807	65808	6675808	65809	6681809	66810	6691810	66811	6698811	66812	6706812	66813	6712813	66814	6720814	66815	6727815	6655	1500
816	66817	6744817	66818	6753818	66819	6762819	66820	6770820	66821	6776821	67822	6783822	67823	6790823	67824	6797824	67825	6807825	67826	6815826	67827	6824827	67828	6831828	67829	6838829	67830	6848830	67831	6857831	67832	6867	1376
833	6877	1368
834	6883	1360
835	6892	1352
836	6903	1344
837	6909	1335
838	6917	1327
839	6927	1319
840	6935	1311
841	6944	1303
842	6949	1294
843	6962	1286
844	6970	1278
845	6977	1270
846	6985	1261
847	6992	1253
848	7001	1245
849	7010	1237
850	7016	1228
851	7025	1220
852	7035	1212
853	7043	1204
854	7054	1196
855	7060	1187
856	7070	1179
857	7081	1172
858	7086	1163
859	7094	1154
860	7104	1146
861	7111	1138
862	7122	1130
863	7133	1122
864	7140	1114
865	7144	1105
866	7155	1097
867	7161	1089
868	7168	1080
869	7178	1072
870	7189	1064
871	7198	1056
872	7207	1048
873	7214	1040
874	7222	1031
875	7231	1023
876	7238	1015
877	7243	1006
878	7254	998
879	7263	990
880	7271	982
881	7280	974
882	7287	965
883	7296	957
884	7303	949
885	7310	940
886	7318	932
887	7326	924
888	7332	915
889	7337	906
890	7345	898
891	7351	890
892	7362	882
893	7366	873
894	7373	865
895	7384	857
896	7392	848
897	7398	840
898	7406	832
899	7416	824
900	7426	815
901	7437	808
902	7445	799
903	7454	791
904	7461	783
905	7468	774
906	7477	766
907	7486	758
908	7495	750
909	7504	742
910	7510	733
911	7521	725
912	7529	717
913	7534	708
914	7543	700
915	7553	692
916	7561	684
917	7568	676
918	7577	667
919	7587	659
920	7595	651
921	7601	643
922	7607	634
923	7618	626
924	7628	618
925	7637	610
926	7644	602
927	7653	593
928	7661	585
929	7669	577
930	7679	569
931	7684	560
932	7693	552
933	7697	543
934	7704	535
935	7711	527
936	7719	519
937	7730	510
938	7742	502
939	7745	494
940	7751	486
941	7760	477
942	7767	469
943	7774	461
944	7782	452
945	7788	444
946	7798	436
947	7809	428
948	7815	420
949	7821	411
950	7829	403
951	7835	395
952	7847	387
953	7852	378
954	7863	370
955	7869	362
956	7875	353
957	7883	345
958	7892	337
959	7897	329
960	7904	320
961	7913	312
962	7921	304
963	7931	296
964	7941	288
965	7949	279
966	7956	271
967	7965	263
968	7973	255
969	7984	246
970	7992	238
971	7995	230
972	8001	222
973	8007	213
974	8012	205
975	8018	197
976	8024	188
977	8035	180
978	8045	172
979	8054	164
980	8059	156
981	8067	147
982	8075	139
983	8081	131
984	8086	123
985	8089	114
986	8093	106
987	8096	98
988	8099	90
989	8102	81
990	8105	73
991	8108	65
992	8111	57
993	8114	48
994	8117	40
995	8120	32
996	8122	24
997	8124	16
998	8126	8
999	8128	0
020	0
6	0
